วันที่,day_type,holiday_subject,รถไฟฟ้า ARL,รถไฟฟ้า BTS,รถไฟฟ้าสายสีชมพู,รถไฟฟ้าสายสีน้ำเงิน,รถไฟฟ้าสายสีม่วง,รถไฟฟ้าสายสีเหลือง,รถไฟฟ้าสายสีแดง,rain_average,dow
2020-07-26,0,normal,22277,296400,not available,139269,20008,not available,not available,0.4222222222222223,6
2020-07-27,0,วันหยุดชดเชย,22710,292700,not available,137019,18936,not available,not available,12.4,0
2020-07-28,0,วันเฉลิมฯ พระวชิรเกล้าเจ้าอยู่หัว,22235,286900,not available,131060,19097,not available,not available,4.022222222222222,1
2020-07-29,1,normal,44475,585100,not available,289672,43091,not available,not available,3.555555555555556,2
2020-07-30,1,normal,43435,591400,not available,291640,42151,not available,not available,0.0,3
2020-07-31,1,normal,45868,638200,not available,309820,44650,not available,not available,0.6444444444444445,4
2020-08-01,0,normal,31002,428100,not available,194020,28329,not available,not available,0.0,5
2020-08-02,0,normal,27628,360753,not available,161912,23276,not available,not available,1.1111111111111114,6
2020-08-03,1,normal,45508,590640,not available,287603,44057,not available,not available,0.4222222222222223,0
2020-08-04,1,normal,45233,603889,not available,296686,44148,not available,not available,19.08888888888889,1
2020-08-05,1,normal,45438,608648,not available,301206,44440,not available,not available,0.0222222222222222,2
2020-08-06,1,normal,46171,607322,not available,298682,43401,not available,not available,2.488888888888889,3
2020-08-07,1,normal,49564,647609,not available,315157,45850,not available,not available,10.644444444444446,4
2020-08-08,0,normal,31733,435342,not available,198518,27634,not available,not available,6.222222222222223,5
2020-08-09,0,normal,26700,347950,not available,157253,22395,not available,not available,0.0666666666666666,6
2020-08-10,1,normal,45618,585074,not available,292668,43413,not available,not available,0.0666666666666666,0
2020-08-11,1,normal,46610,615552,not available,307372,44619,not available,not available,0.1777777777777777,1
2020-08-12,0,วันแม่,22663,319780,not available,142537,20473,not available,not available,8.888888888888891,2
2020-08-13,1,normal,43722,607719,not available,302083,45874,not available,not available,24.08888888888889,3
2020-08-14,1,normal,49636,642004,not available,318270,47703,not available,not available,22.066666666666663,4
2020-08-15,0,normal,30602,412293,not available,185564,27109,not available,not available,1.1555555555555557,5
2020-08-16,0,normal,28431,348424,not available,179104,22781,not available,not available,1.1777777777777778,6
2020-08-17,1,normal,48134,606629,not available,305991,46190,not available,not available,5.466666666666667,0
2020-08-18,1,normal,47117,627423,not available,317151,46401,not available,not available,8.266666666666666,1
2020-08-19,1,normal,46939,631837,not available,318234,46389,not available,not available,2.955555555555556,2
2020-08-20,1,normal,47615,638049,not available,318499,46019,not available,not available,0.0,3
2020-08-21,1,normal,50807,670610,not available,328487,48361,not available,not available,3.622222222222222,4
2020-08-22,0,normal,31527,430457,not available,198987,28200,not available,not available,9.288888888888886,5
